policy_id,customer_id,policy_type,premium_usd,effective_date,renewal_date,renewed
1d416221-48da-4e97-b3a4-55c910226774,4a969b02-5080-46f2-9224-b39ac887c3ca,Home,3065.0,2025-06-23,2024-02-20,1
4a590f02-1131-4f84-9c6a-22b962cbc15a,a83df172-b9ca-41d0-b06e-509002fe6108,Life,1637.29,2021-05-24,2024-03-05,0
8e7b4db1-23f6-4afc-bd21-ad623438fdc5,2a03d4e0-f614-4d9a-9451-b935fe7c7bc3,Life,3064.53,2022-01-30,2026-07-28,1
0b25421b-45ef-4406-bd9e-62ae36843c30,d5b4963b-17c8-49cf-8a79-35172793d6a2,Home,1935.59,2020-06-30,2021-02-23,1
6d4a133a-be45-45d5-9965-bf1da9a79eb1,88023e7d-4d35-4125-984e-ae05cc77c81f,Home,1323.22,2021-08-21,2021-12-05,1
8e3ca30f-7936-4d4b-94c0-fe73e271ed9a,b369abed-38c6-42cb-839a-31ae0652be98,Home,2326.42,2021-06-17,2026-06-12,1
f74e371d-58b4-413a-b0c7-1417ac34473d,e262a90a-0503-45f0-9bdd-561ec4f4f154,Annuity,2073.23,2022-01-25,2021-09-22,1
8c8c91e0-b161-4ef5-91cc-7f0e7376bcdc,dbf28cf8-1667-4228-8845-72e74bd1ff89,Life,1313.38,2021-12-15,2022-04-13,1
feb61239-7108-422c-86a7-80ee7d35b843,7c4a47c6-afc5-49ae-90e6-beebd4238763,Auto,4062.18,2025-03-17,2022-02-05,1
4585aa04-d712-4932-93ba-868131af8216,ffd9251c-f3e1-4e13-99ad-5e0946dfaa72,Life,3163.86,2020-03-05,2023-10-28,0
e92410b3-ead4-4399-a220-6d4b8218d5d6,1b630647-dc8b-4380-a129-3e2e5afe4464,Life,4196.13,2020-04-06,2024-07-06,1
b88d6784-5832-457d-9849-9fcbd01b8623,39c5c1d3-dc4c-45bd-a8b5-45b463592bf2,Auto,1120.47,2022-01-18,2023-02-19,1
bc7a6d2d-09f8-416f-8dcc-1a01bf32a4f7,6902d906-58cd-4b5f-b9b9-8a15eb347d34,Life,1441.48,2023-06-27,2021-12-03,1
6fdd3c34-785f-4b5f-a3e4-4d71332f268d,e394b594-7cad-4eb3-9f09-38fbb4103e71,Auto,5845.44,2022-08-11,2022-06-06,1
c26b0120-ac15-4668-85fb-f45fdec04f3e,d274db48-a137-4340-b46b-d4ee332ee148,Life,3962.86,2024-12-05,2025-03-27,1
91532b08-96ad-47ed-916a-3c149009cc68,c2764e6f-5326-4272-b279-ca98b42fca73,Life,1279.52,2021-11-04,2022-07-24,1
ad5b8d6c-a9d6-46d5-a231-704a2caf1001,245ee33e-d0e8-41b9-9331-ef2e554e7f77,Auto,1655.6,2022-07-02,2022-08-23,1
4ea5cfc0-94cc-482d-ad6d-da9504664877,45e1e3b1-e6d2-4d45-bb13-ac7986598d0c,Annuity,2941.69,2022-12-13,2021-03-04,1
660cf2f1-8c7a-48cc-b11f-948b443b19dd,2fdd86f8-5de2-483f-9642-1627509fdb42,Auto,5806.24,2023-01-01,2026-05-24,1
c80fc2aa-9bf0-4efd-b89a-fa469de17502,697725da-3198-4360-911a-4c18fec87b3c,Home,4600.04,2024-04-21,2024-02-15,0
5932e68c-a5c7-456f-b6e1-defcd1a7a30f,e7da9fa5-28a4-46cc-ac4c-b4bf72fa0034,Auto,819.99,2025-05-24,2024-12-19,1
a50e9a0f-c2bf-43d1-879c-c1d15427d4d4,93637350-f37d-43af-bac8-3b02186e5428,Auto,1674.41,2025-02-23,2024-03-06,1
9164f47b-6855-42a1-ae3b-0661a53cd676,48ff270a-efd1-4814-a80d-059aaea555d7,Life,4133.84,2023-03-01,2024-09-04,1
667268a7-c8dd-4c17-83ae-257858a0d2a9,3988f452-6539-4925-9fc2-b3d64b841321,Annuity,809.48,2023-06-06,2025-11-23,1
0fc6edc7-3ff6-4a03-b415-763370af7cdc,eff9dd2d-c4e1-40da-accd-ddd1b4749ba5,Home,3080.33,2024-01-20,2025-02-06,1
bd5c2843-d762-46fa-9e8d-4022a3e8e41e,3098299a-eade-4317-a697-da89bea0bee5,Auto,2631.91,2024-06-22,2024-01-04,0
bacc1a23-727a-4ac4-a77e-c3f59ef7da83,b53ac4e5-b3f5-4e71-9294-e1a9ea9875a0,Home,5434.88,2022-04-12,2022-09-15,1
7f4fd6f5-2dd1-4b59-bd3e-610f16daa28e,e75a168f-4b0d-4577-93ca-6a50b886dfae,Auto,5377.62,2024-12-18,2026-05-12,1
84a4679a-2ea2-4eed-bbed-f581712bc8e9,153619f3-eaed-4401-ad87-5575087e9429,Home,1143.42,2023-08-28,2025-03-23,1
e2ab1dc8-a22f-4967-942e-3c70b63401c3,5280020d-8549-4beb-8beb-da290884b391,Auto,5667.48,2022-08-27,2025-02-25,1
ffc2ab55-5897-4e62-b046-fd8594e32a0c,f18adce7-a137-46ee-bc9e-86dfa99ca54a,Life,3993.59,2022-01-09,2024-12-16,1
4911a61c-d296-477c-bd1f-6339d669c035,5f848202-d4b7-4704-8763-808db1d9a4d0,Life,3276.33,2023-11-16,2026-01-07,1
2d5751f2-6633-4c67-b7de-3e7de6912366,b27642e1-ed66-4f8d-961a-1e34dae36aa0,Auto,5316.77,2025-04-16,2026-04-23,1
8f0f38a9-660e-466f-b310-bf5157ac5f4e,5d1221c0-7b4e-428c-a497-d469e37d12d8,Auto,3037.15,2022-11-13,2026-03-04,1
e96b1e8c-7ca8-43fa-85c7-a8f7881f392f,66fd62ec-922e-456f-9261-37825eadbffb,Auto,3957.69,2021-06-02,2023-09-24,1
98973705-da41-46e7-95b7-7e211f586711,7a24557b-df57-47bf-bf9e-2c6a3ff80636,Home,1212.78,2020-10-15,2022-09-29,1
bde08b24-5210-4d6d-8111-dc90e145d282,581615e1-ea1f-4f7e-93cc-663141e77d96,Auto,771.48,2021-07-04,2021-05-18,1
9cadb105-53e8-413c-8ab1-03d40fffbff4,0762b72e-2344-44e6-84d5-aca5ae0f6af6,Life,4478.1,2024-12-16,2026-07-25,0
